OTU	a1	a2	a3	a4	a5	a6
OTU_615	2	5	2	7	1	2
OTU_616	2	1	2	4	3	3
OTU_617	0	2	2	1	0	2
OTU_618	0	1	0	1	0	0
OTU_619	0	0	0	0	1	0
OTU_620	0	0	0	4	0	1
OTU_622	0	0	0	1	0	0
OTU_623	0	0	1	2	1	1
OTU_624	2	1	5	2	1	0
OTU_625	0	0	0	0	1	0
OTU_626	0	2	4	0	0	0
OTU_627	1	2	1	12	2	1
OTU_628	2	1	5	0	2	4
OTU_630	1	5	1	1	0	2
OTU_631	0	0	0	1	0	0
OTU_632	0	0	0	0	1	0
OTU_633	1	0	1	1	0	0
OTU_637	3	2	2	4	9	1
OTU_639	0	0	0	1	0	0
OTU_640	17	6	12	16	7	7
OTU_641	0	1	0	1	0	0
OTU_642	1	1	1	3	0	0
OTU_643	0	0	0	1	0	1
OTU_644	0	1	0	2	1	2
OTU_645	0	0	0	1	0	0
OTU_647	0	1	0	0	0	0
OTU_648	1	1	0	0	0	0
OTU_650	12	14	15	16	9	6
OTU_652	2	1	1	0	0	0
OTU_656	0	0	1	1	0	0
OTU_658	0	2	0	1	0	0
OTU_659	2	1	0	0	2	1
OTU_660	1	0	1	3	1	0
OTU_661	1	0	0	3	0	1
OTU_662	1	2	0	1	0	1
OTU_663	0	0	0	0	1	0
OTU_664	0	0	0	1	0	0
OTU_666	0	1	0	1	0	0
OTU_670	1	16	15	14	12	8
OTU_671	10	14	13	7	6	4
OTU_673	0	0	0	1	0	0
OTU_675	0	0	1	0	0	0
OTU_677	3	2	1	8	0	4
OTU_680	1	2	3	1	2	2
OTU_681	0	0	0	1	1	0
OTU_685	1	0	1	0	3	1
OTU_687	0	1	0	0	0	0
OTU_689	0	0	0	1	1	0
OTU_690	8	3	5	7	0	3
OTU_692	4	3	5	5	6	3
OTU_693	3	5	3	0	5	6
OTU_694	0	1	6	2	0	0
OTU_696	0	2	3	4	1	3
OTU_698	1	0	1	0	0	0
OTU_699	0	0	0	1	0	0
OTU_701	9	19	7	11	6	4
OTU_702	1	1	0	1	3	0
OTU_703	1	3	0	0	1	0
OTU_704	4	1	0	1	0	0
OTU_705	0	1	0	1	1	0
OTU_706	1	0	0	0	0	0
OTU_707	0	4	1	4	0	0
OTU_708	3	4	3	2	2	4
OTU_709	10	0	1	4	2	4
OTU_711	0	0	1	1	0	0
OTU_712	0	1	0	3	1	0
OTU_713	1	1	2	4	3	4
OTU_714	4	1	0	3	6	1
OTU_715	4	0	9	12	1	2
OTU_716	0	0	1	0	0	0
OTU_719	1	0	0	0	0	0
OTU_721	4	7	13	6	2	2
OTU_723	1	2	2	3	0	1
OTU_725	2	3	2	4	3	5
OTU_726	0	1	2	1	0	0
OTU_731	1	1	6	2	0	2
OTU_732	1	2	6	1	1	0
OTU_733	0	0	0	1	0	0
OTU_734	1	3	0	0	0	0
OTU_735	0	1	3	1	1	1
OTU_736	2	2	1	1	3	1
OTU_737	1	1	0	2	1	1
OTU_738	0	0	0	0	0	2
OTU_739	0	0	0	1	1	0
OTU_741	2	0	0	0	0	0
OTU_742	1	2	2	3	1	2
OTU_743	0	0	0	0	0	1
OTU_745	0	0	1	0	0	0
OTU_749	0	4	2	4	0	0
OTU_751	1	3	5	1	1	3
OTU_753	0	0	0	0	1	0
OTU_754	0	2	0	1	1	1
OTU_755	1	0	0	1	0	0
OTU_756	0	1	4	0	1	1
OTU_757	2	0	0	0	0	0
OTU_759	0	0	1	1	1	0
OTU_764	0	0	0	1	0	0
OTU_765	3	1	1	2	6	1
OTU_766	0	0	0	0	1	0
OTU_767	0	0	0	1	1	1
OTU_768	0	0	1	0	0	0
OTU_769	1	1	0	1	0	1
OTU_770	0	0	0	0	0	2
OTU_772	0	1	0	4	0	0
OTU_775	0	0	0	0	0	1
OTU_776	0	0	2	1	1	0
OTU_777	2	4	1	1	4	5
OTU_779	6	1	3	0	2	1
OTU_780	8	6	3	5	8	10
OTU_781	0	0	0	1	0	0
OTU_784	0	0	2	0	0	0
OTU_785	4	1	1	2	1	3
OTU_786	0	2	1	1	1	0
OTU_788	0	0	2	0	0	0
OTU_790	0	0	0	1	0	0
OTU_793	3	4	7	4	7	13
OTU_795	2	2	0	1	2	0
OTU_796	0	1	0	1	0	0
OTU_797	0	2	0	1	0	1
OTU_798	3	6	7	3	2	6
OTU_799	0	1	0	3	1	1
OTU_801	1	1	1	1	2	2
OTU_802	9	6	11	11	6	3
OTU_803	2	0	0	2	1	0
OTU_805	0	1	0	2	0	0
OTU_807	3	0	2	0	2	3
OTU_808	0	1	0	0	0	1
OTU_809	0	1	0	2	0	0
OTU_812	1	0	1	1	0	0
OTU_813	0	0	3	0	0	0
OTU_814	4	2	3	0	3	2
OTU_815	9	5	40	1	9	9
OTU_817	0	0	0	1	0	3
OTU_819	3	2	2	0	1	0
OTU_820	0	2	2	1	0	3
OTU_821	3	2	5	3	1	2
OTU_822	0	0	0	1	0	0
OTU_824	0	0	0	1	1	1
OTU_826	0	2	3	1	0	3
OTU_827	0	0	1	0	1	0
OTU_832	0	0	1	0	0	0
OTU_834	1	4	1	1	0	1
OTU_836	13	12	16	15	10	4
OTU_837	0	0	1	0	0	1
OTU_838	0	0	1	0	0	0
OTU_839	1	3	3	4	3	2
OTU_840	1	1	0	0	0	0
OTU_841	0	0	0	1	0	0
OTU_844	0	0	0	1	0	0
OTU_845	0	0	0	1	0	0
OTU_846	12	4	5	9	6	4
OTU_848	1	2	8	3	2	1
OTU_852	0	0	0	0	0	1
OTU_854	6	4	5	2	6	3
OTU_855	0	0	1	0	0	0
OTU_856	1	0	0	0	0	1
OTU_859	1	1	1	2	0	0
OTU_860	9	6	5	13	5	5
OTU_861	0	0	2	0	0	0
OTU_862	0	0	10	2	2	0
OTU_863	1	1	1	1	3	0
OTU_865	4	1	4	2	2	3
OTU_868	1	0	2	4	0	1
OTU_871	0	0	0	0	0	1
OTU_872	4	5	8	9	6	6
OTU_874	0	1	0	0	0	0
OTU_876	0	0	0	1	0	0
OTU_878	1	0	0	2	0	0
OTU_879	0	0	1	1	0	0
OTU_881	0	0	0	1	0	0
OTU_882	0	0	0	1	0	0
OTU_883	0	1	0	0	0	0
OTU_884	0	0	2	2	2	1
OTU_885	0	0	0	0	1	0
OTU_887	1	4	1	1	1	2
OTU_891	2	1	0	0	2	0
OTU_893	0	0	0	1	0	0
OTU_897	0	0	1	1	0	0
OTU_898	4	0	3	1	1	1
OTU_899	0	1	0	0	0	0
OTU_902	0	0	0	1	0	0
OTU_903	1	1	3	2	1	0
OTU_904	0	0	0	1	0	0
OTU_905	3	3	3	1	2	1
OTU_906	8	2	3	2	0	0
OTU_907	1	7	0	0	2	1
OTU_908	4	1	3	1	3	0
OTU_909	1	0	1	0	1	0
OTU_910	0	2	4	1	2	0
OTU_911	2	1	2	0	1	0
OTU_915	0	3	3	2	6	1
OTU_921	0	0	0	0	1	0
OTU_927	0	0	3	0	0	0
OTU_929	0	0	1	0	0	0
OTU_930	0	0	1	0	0	0
OTU_931	0	1	0	0	0	0
OTU_933	1	2	1	5	2	4
OTU_934	1	0	0	1	0	0
OTU_935	3	0	0	2	0	0
OTU_936	3	0	7	9	2	6
OTU_937	0	0	1	0	0	0
OTU_938	0	1	1	8	5	7
OTU_939	0	1	0	0	0	0
OTU_940	0	1	0	3	2	0
OTU_942	0	2	0	0	0	0
OTU_944	1	1	1	2	0	1
OTU_945	0	0	2	1	4	2
OTU_947	3	1	0	2	2	3
OTU_948	1	0	0	1	1	0
OTU_950	2	5	5	5	2	1
OTU_953	0	1	0	0	0	0
OTU_954	3	1	2	0	2	0
OTU_955	1	0	3	1	0	0
OTU_956	4	3	3	4	3	4
OTU_957	4	1	3	0	2	0
OTU_958	0	1	0	0	0	0
OTU_960	6	3	1	5	1	1
OTU_961	3	0	0	1	1	2
OTU_964	5	2	1	1	0	0
OTU_965	0	0	2	0	0	2
OTU_967	0	1	0	0	0	0
OTU_968	0	1	0	0	0	0
OTU_973	0	1	0	0	0	2
OTU_974	7	3	18	6	2	3
OTU_975	1	0	3	0	1	0
OTU_976	3	2	6	4	0	2
OTU_981	2	0	10	0	1	0
OTU_983	0	0	1	0	0	0
OTU_986	0	1	0	1	0	0
OTU_990	2	0	0	0	2	0
OTU_991	0	1	0	0	1	0
OTU_992	0	5	2	1	5	3
OTU_994	0	0	0	2	0	0
OTU_995	3	4	5	1	1	2
OTU_998	4	2	4	2	1	5
OTU_999	0	0	1	1	0	0
OTU_1000	0	2	0	0	0	1
OTU_1002	0	3	3	2	0	0
OTU_1003	0	0	0	2	0	0
OTU_1004	0	0	0	0	1	0
OTU_1005	4	5	3	1	3	1
OTU_1007	0	0	0	1	0	0
OTU_1009	1	0	0	1	0	0
OTU_1011	0	0	1	0	0	1
OTU_1014	2	0	0	2	0	1
OTU_1015	0	0	1	0	1	1
OTU_1017	0	0	0	1	0	0
OTU_1018	21	9	21	17	13	10
OTU_1020	0	0	0	1	2	1
OTU_1022	1	1	0	0	0	1
OTU_1023	1	1	6	1	0	3
OTU_1026	0	1	0	0	0	0
OTU_1028	4	2	3	1	6	4
OTU_1029	2	0	0	3	1	1
OTU_1030	0	0	0	1	0	0
OTU_1031	4	0	2	3	2	1
OTU_1033	1	0	1	2	0	1
OTU_1035	0	0	0	1	0	1
OTU_1036	1	0	0	1	0	0
OTU_1038	0	1	1	0	0	0
OTU_1040	0	0	1	0	0	0
OTU_1041	0	0	0	2	0	1
OTU_1043	0	0	0	1	0	0
OTU_1044	2	2	3	2	0	0
OTU_1045	0	0	1	1	0	0
OTU_1047	0	1	0	0	0	0
OTU_1049	0	1	0	0	0	0
OTU_1052	0	0	0	0	2	0
